"","Strain","isolate","plate","well","label_exp","model","param_1","param_2","param_3","param_4","th_gr","em_gr","loss","tot_plate.x","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","tot_plate.y","Strain_nice","ID"
"7551","448","8","3","B5","Richards_isolate_8_plate_13","NL_Richards","0.17357150739931634","4.081549089028417","0.09712585000038156","200.12061220822378","0.023796320405169387","0.18847999727417192","0.04236364725285659","3B5",0,1,0,1,1,0,1,0,4,"3B5","C. gallinarum","3B5C. gallinarum"
"7552","448","8","5","C2","Richards_isolate_8_plate_5","NL_Richards","1.5035869659553491","4.21532756166754","0.10659204500651762","270.64756754574864","0.02528677628182664","0.1499312966534329","0.047245902042018915","5C2",0,1,1,1,1,0,1,1,6,"5C2","C. gallinarum","5C2C. gallinarum"
"7553","448","8","2","F6","Richards_isolate_8_plate_7","NL_Richards","0.12432998169073457","3.4843577034967406","0.4834932465847074","59.49250310148931","0.13876108214750613","0.27172621763900007","0.047708307046418784","2F6",0,0,0,0,1,1,1,0,3,"2F6","C. gallinarum","2F6C. gallinarum"
"7554","448","8","5","B7","Richards_isolate_8_plate_15","NL_Richards","0.20992532339841752","1.3986239203147166","0.3515100330998978","31.92135114832183","0.25108613459792567","0.3406166367468626","0.021027912813885073","5B7",0,0,0,0,0,0,0,0,0,"5B7","C. gallinarum","5B7C. gallinarum"
"7555","448","8","3","F4","Richards_isolate_8_plate_3","NL_Richards","0.7641212604128493","4.04886385854308","0.09371322824623907","241.71485854265472","0.023145561697155675","0.18374700717303058","0.011072040510391165","3F4",0,1,1,0,0,0,1,1,4,"3F4","C. gallinarum","3F4C. gallinarum"
"7556","448","8","2","C8","Richards_isolate_8_plate_17","NL_Richards","0.20564752781912238","2.5519974524322415","0.5890374636811935","31.78245681187049","0.23081413604474552","0.4706434683372481","0.046047580393523656","2C8",1,1,0,1,1,0,0,0,4,"2C8","C. gallinarum","2C8C. gallinarum"
"7557","448","8","1","F7","Richards_isolate_8_plate_11","NL_Richards","0.2170746263697733","2.652043544517855","0.4901822316194275","32.00386815635665","0.18483173139329465","0.323407708197285","0.032398534526975345","1F7",0,0,0,0,0,1,0,1,2,"1F7","C. gallinarum","1F7C. gallinarum"
"7558","448","8","1","C3","Richards_isolate_8_plate_16","NL_Richards","0.19262468534253585","3.21318367172999","0.46899951123841704","34.1483470084489","0.14596096083432047","0.28101932653238304","0.024163750928484933","1C3",0,0,0,0,0,0,0,1,1,"1C3","C. gallinarum","1C3C. gallinarum"
"7560","448","8","1","C11","Richards_isolate_8_plate_16","NL_Richards","0.25150880349626586","4.3235181883196265","0.6309619085237884","33.86987415885338","0.14593714645520722","0.292900373692789","0.03785437738414788","1C11",1,0,0,0,0,1,0,1,3,"1C11","C. gallinarum","1C11C. gallinarum"
"7562","448","8","1","G4","Richards_isolate_8_plate_1","NL_Richards","0.19036002176466144","4.103986750933393","0.7314407083456221","33.26888398206712","0.17822686879283917","0.3329095742020238","0.04386397512424857","1G4",0,1,0,0,1,0,0,0,2,"1G4","C. gallinarum","1G4C. gallinarum"
"7563","448","8","4","E5","Richards_isolate_8_plate_14","NL_Richards","0.19965306127818455","2.753439572728625","0.4813173456018019","33.95346709768795","0.17480580512928054","0.31805142129126623","0.044544811949257794","4E5",0,1,1,1,0,1,0,1,5,"4E5","C. gallinarum","4E5C. gallinarum"
"7565","448","8","1","G4","Richards_isolate_8_plate_11","NL_Richards","0.2126323881342392","2.432842923343073","0.4393197341145338","33.00474837827738","0.1805783311874418","0.328659932989812","0.04677077136713047","1G4",0,1,0,0,1,0,0,0,2,"1G4","C. gallinarum","1G4C. gallinarum"
"7566","448","8","5","B9","Richards_isolate_8_plate_20","NL_Richards","0.19098715055639298","1.9524886860653843","0.4554932554796678","33.40179066813779","0.23328818709685242","0.493624591869589","0.04532447882605197","5B9",0,0,0,0,0,0,0,0,0,"5B9","C. gallinarum","5B9C. gallinarum"
"7567","448","8","2","D3","Richards_isolate_8_plate_17","NL_Richards","0.19599108123499173","0.4701659866638676","0.21925854515923077","30.571414171284008","0.41884136188383886","0.4829011872075328","0.005522039219426242","2D3",0,1,0,0,1,0,0,1,3,"2D3","C. gallinarum","2D3C. gallinarum"
"7569","448","8","3","F9","Richards_isolate_8_plate_13","NL_Richards","0.21341632995166085","1.6412957411588007","0.5251500691110247","30.23336139477213","0.31987175754688907","0.43227570280252514","0.010133688233333157","3F9",1,1,1,0,1,1,0,0,5,"3F9","C. gallinarum","3F9C. gallinarum"
