"","well","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","combined_data$Strain_nice"
"7314","7314_D2_C. gallinarum_",0,1,0,1,1,0,0,0,"C. gallinarum"
"7315","7315_F9_C. gallinarum_",1,1,1,0,1,1,0,0,"C. gallinarum"
"7316","7316_B3_C. gallinarum_",0,1,0,0,1,1,0,0,"C. gallinarum"
"7317","7317_G3_C. gallinarum_",0,1,0,0,0,0,1,1,"C. gallinarum"
"7318","7318_F6_C. gallinarum_",0,0,0,0,1,1,1,0,"C. gallinarum"
"7319","7319_C9_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7320","7320_G3_C. gallinarum_",0,1,0,0,0,0,1,1,"C. gallinarum"
"7321","7321_C10_C. gallinarum_",1,1,1,0,0,1,1,0,"C. gallinarum"
"7322","7322_D7_C. gallinarum_",1,1,1,1,0,0,0,0,"C. gallinarum"
"7323","7323_G2_C. gallinarum_",1,0,0,0,1,0,1,1,"C. gallinarum"
"7324","7324_F2_C. gallinarum_",0,0,0,0,1,0,0,0,"C. gallinarum"
"7325","7325_D11_C. gallinarum_",1,0,0,0,0,0,1,1,"C. gallinarum"
"7326","7326_F8_C. gallinarum_",1,1,1,1,1,0,0,1,"C. gallinarum"
"7327","7327_D8_C. gallinarum_",1,1,0,0,1,0,0,0,"C. gallinarum"
"7328","7328_G6_C. gallinarum_",0,0,0,1,0,0,0,1,"C. gallinarum"
"7329","7329_E5_C. gallinarum_",0,0,1,0,0,0,1,1,"C. gallinarum"
"7330","7330_G8_C. gallinarum_",1,1,0,0,1,1,0,0,"C. gallinarum"
"7331","7331_B5_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7332","7332_D7_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7333","7333_F6_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7334","7334_G3_C. gallinarum_",1,1,0,1,1,1,1,1,"C. gallinarum"
"7335","7335_E10_C. gallinarum_",1,0,1,0,1,1,0,0,"C. gallinarum"
"7336","7336_E8_C. gallinarum_",1,1,0,0,0,1,0,0,"C. gallinarum"
"7337","7337_F4_C. gallinarum_",0,0,1,0,1,1,0,0,"C. gallinarum"
"7338","7338_E4_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7339","7339_B10_C. gallinarum_",1,0,0,1,0,1,0,0,"C. gallinarum"
"7340","7340_C4_C. gallinarum_",1,0,0,0,0,0,1,0,"C. gallinarum"
"7341","7341_G7_C. gallinarum_",0,0,1,0,1,0,1,1,"C. gallinarum"
"7342","7342_G9_C. gallinarum_",1,0,1,1,1,0,0,0,"C. gallinarum"
"7343","7343_E6_C. gallinarum_",0,1,0,1,1,1,1,0,"C. gallinarum"
"7344","7344_B2_C. gallinarum_",0,1,1,1,1,1,0,1,"C. gallinarum"
"7345","7345_C3_C. gallinarum_",0,1,0,0,1,0,1,0,"C. gallinarum"
"7346","7346_D9_C. gallinarum_",1,1,1,0,1,1,1,0,"C. gallinarum"
"7347","7347_F9_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7348","7348_C4_C. gallinarum_",1,0,0,1,1,1,0,1,"C. gallinarum"
"7349","7349_D4_C. gallinarum_",1,0,0,1,1,0,1,1,"C. gallinarum"
"7350","7350_D8_C. gallinarum_",0,0,0,1,1,1,0,1,"C. gallinarum"
"7351","7351_F6_C. gallinarum_",0,1,0,1,1,1,0,1,"C. gallinarum"
"7352","7352_F5_C. gallinarum_",0,0,0,1,1,1,0,0,"C. gallinarum"
"7353","7353_G7_C. gallinarum_",0,0,0,0,0,0,1,1,"C. gallinarum"
"7354","7354_D8_C. gallinarum_",1,1,0,0,1,0,0,0,"C. gallinarum"
"7355","7355_E8_C. gallinarum_",0,0,0,1,1,0,1,1,"C. gallinarum"
"7356","7356_F6_C. gallinarum_",0,1,0,1,1,1,0,1,"C. gallinarum"
"7357","7357_C8_C. gallinarum_",1,1,0,1,1,0,0,0,"C. gallinarum"
"7358","7358_G4_C. gallinarum_",0,0,1,0,1,0,1,0,"C. gallinarum"
"7359","7359_B7_C. gallinarum_",0,0,0,0,1,1,0,0,"C. gallinarum"
"7360","7360_G6_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7361","7361_D9_C. gallinarum_",1,0,1,0,0,1,0,0,"C. gallinarum"
"7362","7362_B4_C. gallinarum_",0,0,1,1,1,0,0,0,"C. gallinarum"
"7363","7363_B5_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7364","7364_G3_C. gallinarum_",0,1,1,0,1,1,0,0,"C. gallinarum"
"7365","7365_E4_C. gallinarum_",1,0,0,1,0,1,1,1,"C. gallinarum"
"7366","7366_B10_C. gallinarum_",1,0,0,1,0,1,0,0,"C. gallinarum"
"7367","7367_C9_C. gallinarum_",1,0,1,0,1,0,0,0,"C. gallinarum"
"7368","7368_C3_C. gallinarum_",1,1,1,1,1,1,0,1,"C. gallinarum"
"7369","7369_G11_C. gallinarum_",0,1,1,1,1,1,1,0,"C. gallinarum"
"7370","7370_B7_C. gallinarum_",0,1,0,1,0,1,1,1,"C. gallinarum"
"7371","7371_F2_C. gallinarum_",0,1,0,1,1,1,1,1,"C. gallinarum"
"7372","7372_E8_C. gallinarum_",1,1,0,1,0,0,1,0,"C. gallinarum"
"7373","7373_G5_C. gallinarum_",0,1,0,0,1,1,1,0,"C. gallinarum"
"7374","7374_D9_C. gallinarum_",1,0,1,0,0,1,0,0,"C. gallinarum"
"7375","7375_B7_C. gallinarum_",0,1,0,1,0,1,1,1,"C. gallinarum"
"7376","7376_E11_C. gallinarum_",1,1,0,1,0,0,1,1,"C. gallinarum"
"7377","7377_F10_C. gallinarum_",1,0,1,0,1,0,1,0,"C. gallinarum"
"7378","7378_F11_C. gallinarum_",1,1,0,0,1,1,1,0,"C. gallinarum"
"7379","7379_B4_C. gallinarum_",0,1,1,0,1,0,1,0,"C. gallinarum"
"7380","7380_C2_C. gallinarum_",0,1,0,0,0,0,0,0,"C. gallinarum"
"7381","7381_B8_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7382","7382_E3_C. gallinarum_",0,1,0,0,0,1,1,0,"C. gallinarum"
"7383","7383_E8_C. gallinarum_",0,0,0,1,1,0,1,1,"C. gallinarum"
"7384","7384_F3_C. gallinarum_",1,0,1,0,1,0,1,1,"C. gallinarum"
"7385","7385_F8_C. gallinarum_",1,1,0,1,0,0,0,1,"C. gallinarum"
"7386","7386_B2_C. gallinarum_",1,0,0,1,0,1,1,0,"C. gallinarum"
"7387","7387_G11_C. gallinarum_",1,1,0,0,1,1,0,1,"C. gallinarum"
"7388","7388_D9_C. gallinarum_",1,1,1,0,1,1,1,0,"C. gallinarum"
"7389","7389_D3_C. gallinarum_",1,1,1,1,1,0,1,1,"C. gallinarum"
"7390","7390_C2_C. gallinarum_",1,0,0,1,0,1,0,1,"C. gallinarum"
"7391","7391_F8_C. gallinarum_",0,0,0,1,0,1,1,1,"C. gallinarum"
"7392","7392_F5_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7393","7393_G7_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7394","7394_G5_C. gallinarum_",0,0,1,0,0,1,0,0,"C. gallinarum"
"7395","7395_E3_C. gallinarum_",1,1,1,1,0,1,1,1,"C. gallinarum"
"7396","7396_B3_C. gallinarum_",0,0,0,0,0,0,1,0,"C. gallinarum"
"7397","7397_D6_C. gallinarum_",0,0,0,1,0,1,0,1,"C. gallinarum"
"7398","7398_F7_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7399","7399_C4_C. gallinarum_",0,1,1,0,1,0,0,1,"C. gallinarum"
"7400","7400_G5_C. gallinarum_",0,0,0,1,1,0,1,0,"C. gallinarum"
"7401","7401_B5_C. gallinarum_",0,1,0,1,1,0,1,0,"C. gallinarum"
"7402","7402_D2_C. gallinarum_",0,0,1,0,0,0,0,0,"C. gallinarum"
"7403","7403_E4_C. gallinarum_",0,1,1,0,0,1,0,1,"C. gallinarum"
"7404","7404_D2_C. gallinarum_",1,0,0,1,0,0,1,1,"C. gallinarum"
"7405","7405_D7_C. gallinarum_",0,0,1,1,1,1,1,0,"C. gallinarum"
"7406","7406_G2_C. gallinarum_",1,0,1,1,0,1,1,0,"C. gallinarum"
"7407","7407_F11_C. gallinarum_",1,1,0,0,1,1,1,0,"C. gallinarum"
"7408","7408_D7_C. gallinarum_",1,1,1,1,0,0,0,0,"C. gallinarum"
"7409","7409_B8_C. gallinarum_",1,1,1,0,0,0,0,0,"C. gallinarum"
"7410","7410_G8_C. gallinarum_",0,0,0,0,1,1,1,1,"C. gallinarum"
"7411","7411_C2_C. gallinarum_",0,1,1,0,0,0,0,1,"C. gallinarum"
"7412","7412_G8_C. gallinarum_",1,1,0,0,0,0,0,1,"C. gallinarum"
"7413","7413_G11_C. gallinarum_",0,1,1,0,0,1,0,0,"C. gallinarum"
"7414","7414_B3_C. gallinarum_",1,0,0,0,0,1,1,1,"C. gallinarum"
"7415","7415_F8_C. gallinarum_",1,1,0,1,0,0,0,1,"C. gallinarum"
"7416","7416_G7_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7417","7417_G8_C. gallinarum_",1,1,0,0,0,0,0,1,"C. gallinarum"
"7418","7418_B8_C. gallinarum_",0,0,1,0,1,1,1,1,"C. gallinarum"
"7419","7419_E2_C. gallinarum_",1,0,0,0,1,1,1,0,"C. gallinarum"
"7420","7420_F6_C. gallinarum_",0,0,1,1,1,0,1,0,"C. gallinarum"
"7421","7421_G2_C. gallinarum_",1,0,1,1,0,1,1,0,"C. gallinarum"
"7422","7422_F8_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7423","7423_C11_C. gallinarum_",1,0,0,0,0,1,0,1,"C. gallinarum"
"7424","7424_D11_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7425","7425_F4_C. gallinarum_",0,1,0,1,0,0,0,0,"C. gallinarum"
"7426","7426_F11_C. gallinarum_",1,0,0,1,1,0,1,0,"C. gallinarum"
"7427","7427_B11_C. gallinarum_",1,0,0,0,0,1,1,0,"C. gallinarum"
"7428","7428_D7_C. gallinarum_",1,1,1,1,0,0,0,0,"C. gallinarum"
"7429","7429_F8_C. gallinarum_",1,1,0,1,0,0,0,1,"C. gallinarum"
"7430","7430_E9_C. gallinarum_",1,1,1,1,0,0,0,1,"C. gallinarum"
"7431","7431_E11_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7432","7432_G8_C. gallinarum_",1,1,0,0,1,1,0,0,"C. gallinarum"
"7433","7433_B6_C. gallinarum_",0,0,1,0,0,0,1,0,"C. gallinarum"
"7434","7434_B4_C. gallinarum_",1,0,0,1,1,1,1,0,"C. gallinarum"
"7435","7435_F2_C. gallinarum_",1,0,0,0,1,1,0,1,"C. gallinarum"
"7436","7436_D3_C. gallinarum_",1,1,0,0,0,0,0,0,"C. gallinarum"
"7437","7437_G3_C. gallinarum_",1,1,0,1,1,1,1,1,"C. gallinarum"
"7438","7438_B9_C. gallinarum_",1,0,1,1,0,0,0,0,"C. gallinarum"
"7439","7439_E4_C. gallinarum_",0,0,1,1,0,0,0,1,"C. gallinarum"
"7440","7440_B7_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7441","7441_C10_C. gallinarum_",1,1,1,0,0,1,1,0,"C. gallinarum"
"7442","7442_F2_C. gallinarum_",1,0,0,0,1,1,0,1,"C. gallinarum"
"7443","7443_D8_C. gallinarum_",1,1,0,0,1,0,0,0,"C. gallinarum"
"7444","7444_D5_C. gallinarum_",0,1,0,1,0,1,1,0,"C. gallinarum"
"7445","7445_E11_C. gallinarum_",1,0,1,0,1,1,1,1,"C. gallinarum"
"7446","7446_C4_C. gallinarum_",0,1,1,1,1,1,1,1,"C. gallinarum"
"7447","7447_C4_C. gallinarum_",1,0,0,1,1,1,0,1,"C. gallinarum"
"7448","7448_B2_C. gallinarum_",1,0,0,0,0,0,0,0,"C. gallinarum"
"7449","7449_G8_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7450","7450_G9_C. gallinarum_",1,0,0,1,1,0,0,0,"C. gallinarum"
"7451","7451_E7_C. gallinarum_",0,0,0,0,0,1,1,0,"C. gallinarum"
"7452","7452_C8_C. gallinarum_",0,0,0,1,1,1,1,0,"C. gallinarum"
"7453","7453_E2_C. gallinarum_",1,0,0,0,1,1,1,0,"C. gallinarum"
"7454","7454_F5_C. gallinarum_",0,0,1,0,1,0,0,0,"C. gallinarum"
"7455","7455_G6_C. gallinarum_",0,0,0,0,1,1,0,1,"C. gallinarum"
"7456","7456_B5_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7457","7457_F9_C. gallinarum_",1,1,1,0,1,1,0,0,"C. gallinarum"
"7458","7458_F5_C. gallinarum_",0,1,0,1,0,0,1,1,"C. gallinarum"
"7459","7459_D4_C. gallinarum_",1,0,0,1,1,0,1,1,"C. gallinarum"
"7460","7460_F4_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7461","7461_B6_C. gallinarum_",0,0,0,1,1,0,0,1,"C. gallinarum"
"7462","7462_E7_C. gallinarum_",0,0,1,0,1,1,1,0,"C. gallinarum"
"7463","7463_G10_C. gallinarum_",1,0,1,1,1,1,1,0,"C. gallinarum"
"7464","7464_C11_C. gallinarum_",1,1,0,1,0,1,1,0,"C. gallinarum"
"7465","7465_E3_C. gallinarum_",0,1,1,1,0,0,1,0,"C. gallinarum"
"7466","7466_C10_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7467","7467_G8_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7468","7468_F5_C. gallinarum_",0,0,1,0,1,0,0,0,"C. gallinarum"
"7469","7469_B2_C. gallinarum_",1,1,0,0,1,0,1,1,"C. gallinarum"
"7470","7470_F11_C. gallinarum_",1,0,0,1,1,1,1,1,"C. gallinarum"
"7471","7471_G8_C. gallinarum_",1,1,1,1,0,1,1,0,"C. gallinarum"
"7472","7472_D11_C. gallinarum_",1,1,0,1,0,1,0,1,"C. gallinarum"
"7473","7473_B7_C. gallinarum_",0,0,0,0,1,1,0,0,"C. gallinarum"
"7474","7474_G2_C. gallinarum_",0,0,0,0,0,1,0,0,"C. gallinarum"
"7475","7475_C6_C. gallinarum_",0,0,1,0,0,0,0,1,"C. gallinarum"
"7476","7476_G3_C. gallinarum_",1,0,1,0,0,1,1,1,"C. gallinarum"
"7477","7477_G6_C. gallinarum_",0,1,0,1,1,0,1,1,"C. gallinarum"
"7478","7478_G11_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7479","7479_B10_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7480","7480_E8_C. gallinarum_",1,1,0,0,0,1,0,0,"C. gallinarum"
"7481","7481_C11_C. gallinarum_",1,1,0,1,0,1,1,0,"C. gallinarum"
"7482","7482_C4_C. gallinarum_",0,1,1,0,1,0,0,1,"C. gallinarum"
"7483","7483_D6_C. gallinarum_",0,1,1,0,0,1,1,1,"C. gallinarum"
"7484","7484_F11_C. gallinarum_",1,0,0,1,1,1,1,1,"C. gallinarum"
"7485","7485_C5_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7486","7486_E5_C. gallinarum_",0,0,1,0,0,0,1,1,"C. gallinarum"
"7487","7487_G2_C. gallinarum_",0,0,0,0,0,1,0,0,"C. gallinarum"
"7488","7488_F10_C. gallinarum_",1,1,0,1,1,1,0,0,"C. gallinarum"
"7489","7489_E11_C. gallinarum_",1,0,0,1,1,1,0,0,"C. gallinarum"
"7490","7490_D11_C. gallinarum_",1,0,1,0,0,0,1,1,"C. gallinarum"
"7491","7491_C7_C. gallinarum_",0,1,0,0,1,1,1,1,"C. gallinarum"
"7492","7492_B2_C. gallinarum_",1,1,0,0,1,0,1,1,"C. gallinarum"
"7493","7493_D8_C. gallinarum_",1,1,0,1,0,1,0,0,"C. gallinarum"
"7494","7494_F4_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7495","7495_G8_C. gallinarum_",0,0,0,0,1,1,1,1,"C. gallinarum"
"7496","7496_C6_C. gallinarum_",0,0,0,1,0,1,1,0,"C. gallinarum"
"7497","7497_G4_C. gallinarum_",0,1,1,1,1,1,0,0,"C. gallinarum"
"7498","7498_C5_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7499","7499_B7_C. gallinarum_",0,0,1,1,0,1,1,0,"C. gallinarum"
"7500","7500_G4_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7501","7501_E3_C. gallinarum_",0,1,1,1,0,0,1,0,"C. gallinarum"
"7502","7502_G6_C. gallinarum_",0,1,0,1,1,0,1,1,"C. gallinarum"
"7503","7503_C4_C. gallinarum_",0,0,1,1,0,1,0,0,"C. gallinarum"
"7504","7504_B11_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7505","7505_D10_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7506","7506_G10_C. gallinarum_",1,0,1,0,1,0,0,1,"C. gallinarum"
"7507","7507_G3_C. gallinarum_",1,0,0,0,1,0,0,0,"C. gallinarum"
"7508","7508_B9_C. gallinarum_",1,1,1,1,1,0,0,0,"C. gallinarum"
"7509","7509_D9_C. gallinarum_",1,1,0,0,0,1,1,0,"C. gallinarum"
"7510","7510_G9_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7511","7511_E11_C. gallinarum_",1,0,0,1,1,1,0,0,"C. gallinarum"
"7512","7512_D2_C. gallinarum_",1,0,0,1,0,0,1,1,"C. gallinarum"
"7513","7513_F4_C. gallinarum_",1,0,0,0,1,1,1,1,"C. gallinarum"
"7514","7514_G3_C. gallinarum_",1,0,0,0,1,0,0,0,"C. gallinarum"
"7515","7515_B8_C. gallinarum_",1,1,1,0,0,0,0,0,"C. gallinarum"
"7516","7516_B10_C. gallinarum_",1,0,1,1,0,1,0,0,"C. gallinarum"
"7517","7517_E6_C. gallinarum_",0,0,0,1,0,0,1,1,"C. gallinarum"
"7518","7518_C4_C. gallinarum_",0,0,1,1,0,1,0,0,"C. gallinarum"
"7519","7519_D2_C. gallinarum_",1,0,1,1,1,1,0,0,"C. gallinarum"
"7520","7520_B2_C. gallinarum_",1,0,0,1,0,1,1,0,"C. gallinarum"
"7521","7521_C10_C. gallinarum_",1,0,0,1,0,0,1,0,"C. gallinarum"
"7522","7522_F6_C. gallinarum_",0,0,1,1,1,0,1,0,"C. gallinarum"
"7523","7523_B3_C. gallinarum_",1,0,1,1,0,1,0,1,"C. gallinarum"
"7524","7524_F3_C. gallinarum_",1,1,1,0,1,1,1,1,"C. gallinarum"
"7525","7525_C8_C. gallinarum_",0,0,0,1,1,1,1,1,"C. gallinarum"
"7526","7526_C9_C. gallinarum_",1,1,0,0,1,0,0,1,"C. gallinarum"
"7527","7527_G6_C. gallinarum_",0,0,1,1,1,0,0,1,"C. gallinarum"
"7528","7528_C8_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7529","7529_B6_C. gallinarum_",0,1,1,0,1,1,0,1,"C. gallinarum"
"7530","7530_F10_C. gallinarum_",1,1,0,0,1,1,1,1,"C. gallinarum"
"7531","7531_E5_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7532","7532_G8_C. gallinarum_",1,1,0,0,1,1,0,0,"C. gallinarum"
"7533","7533_D9_C. gallinarum_",1,1,0,0,0,1,1,0,"C. gallinarum"
"7534","7534_E8_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7535","7535_C5_C. gallinarum_",0,1,0,1,1,0,0,1,"C. gallinarum"
"7536","7536_G7_C. gallinarum_",0,0,1,1,0,1,1,1,"C. gallinarum"
"7537","7537_B9_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7538","7538_F6_C. gallinarum_",0,0,0,1,0,0,1,0,"C. gallinarum"
"7539","7539_C6_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7540","7540_E8_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7541","7541_C6_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7542","7542_D9_C. gallinarum_",1,1,0,0,0,1,1,0,"C. gallinarum"
"7543","7543_D10_C. gallinarum_",1,1,1,0,0,1,0,1,"C. gallinarum"
"7544","7544_F10_C. gallinarum_",1,1,0,0,1,1,1,1,"C. gallinarum"
"7545","7545_B3_C. gallinarum_",1,0,1,1,0,1,0,1,"C. gallinarum"
"7546","7546_G10_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7547","7547_B3_C. gallinarum_",1,0,1,1,0,1,0,1,"C. gallinarum"
"7548","7548_D4_C. gallinarum_",1,1,1,1,1,1,1,1,"C. gallinarum"
"7549","7549_F10_C. gallinarum_",1,1,0,0,1,1,1,1,"C. gallinarum"
"7550","7550_D7_C. gallinarum_",0,0,1,1,0,0,1,1,"C. gallinarum"
"7551","7551_B5_C. gallinarum_",0,1,0,1,1,0,1,0,"C. gallinarum"
"7552","7552_C2_C. gallinarum_",0,1,1,1,1,0,1,1,"C. gallinarum"
"7553","7553_F6_C. gallinarum_",0,0,0,0,1,1,1,0,"C. gallinarum"
"7554","7554_B7_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7555","7555_F4_C. gallinarum_",0,1,1,0,0,0,1,1,"C. gallinarum"
"7556","7556_C8_C. gallinarum_",1,1,0,1,1,0,0,0,"C. gallinarum"
"7557","7557_F7_C. gallinarum_",0,0,0,0,0,1,0,1,"C. gallinarum"
"7558","7558_C3_C. gallinarum_",0,0,0,0,0,0,0,1,"C. gallinarum"
"7559","7559_G9_C. gallinarum_",1,1,1,0,1,0,1,0,"C. gallinarum"
"7560","7560_C11_C. gallinarum_",1,0,0,0,0,1,0,1,"C. gallinarum"
"7561","7561_C8_C. gallinarum_",0,0,0,1,1,1,1,1,"C. gallinarum"
"7562","7562_G4_C. gallinarum_",0,1,0,0,1,0,0,0,"C. gallinarum"
"7563","7563_E5_C. gallinarum_",0,1,1,1,0,1,0,1,"C. gallinarum"
"7564","7564_F9_C. gallinarum_",1,1,0,0,0,0,1,1,"C. gallinarum"
"7565","7565_G4_C. gallinarum_",0,1,0,0,1,0,0,0,"C. gallinarum"
"7566","7566_B9_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7567","7567_D3_C. gallinarum_",0,1,0,0,1,0,0,1,"C. gallinarum"
"7568","7568_B7_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7569","7569_F9_C. gallinarum_",1,1,1,0,1,1,0,0,"C. gallinarum"
"7570","7570_E3_C. gallinarum_",1,0,1,0,1,1,0,1,"C. gallinarum"
"7571","7571_G5_C. gallinarum_",0,1,1,0,1,1,1,0,"C. gallinarum"
"7572","7572_G3_C. gallinarum_",1,1,0,1,1,1,1,1,"C. gallinarum"
"7573","7573_E9_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7574","7574_E3_C. gallinarum_",1,0,1,0,0,0,0,0,"C. gallinarum"
"7575","7575_D6_C. gallinarum_",0,0,0,1,1,0,0,0,"C. gallinarum"
"7576","7576_D4_C. gallinarum_",1,1,1,1,1,1,1,1,"C. gallinarum"
"7577","7577_B2_C. gallinarum_",1,1,0,0,1,0,1,1,"C. gallinarum"
"7578","7578_E6_C. gallinarum_",0,1,0,1,1,1,1,0,"C. gallinarum"
"7579","7579_B9_C. gallinarum_",1,1,1,1,0,1,0,1,"C. gallinarum"
"7580","7580_F6_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7581","7581_F7_C. gallinarum_",0,0,0,0,0,1,0,1,"C. gallinarum"
"7582","7582_C3_C. gallinarum_",0,1,1,1,1,0,0,0,"C. gallinarum"
"7583","7583_F11_C. gallinarum_",1,0,0,1,1,1,1,1,"C. gallinarum"
"7584","7584_B6_C. gallinarum_",0,1,0,0,1,1,0,1,"C. gallinarum"
"7585","7585_G10_C. gallinarum_",1,1,0,1,1,0,1,0,"C. gallinarum"
"7586","7586_B11_C. gallinarum_",1,0,1,0,0,1,1,0,"C. gallinarum"
"7587","7587_E5_C. gallinarum_",0,0,1,0,0,0,1,1,"C. gallinarum"
"7588","7588_E5_C. gallinarum_",0,1,0,1,0,1,0,1,"C. gallinarum"
"7589","7589_G7_C. gallinarum_",0,0,1,0,1,0,1,1,"C. gallinarum"
"7590","7590_D3_C. gallinarum_",0,1,0,0,1,0,0,1,"C. gallinarum"
"7591","7591_B11_C. gallinarum_",1,1,0,1,1,0,0,1,"C. gallinarum"
"7592","7592_F7_C. gallinarum_",0,0,1,0,1,1,0,1,"C. gallinarum"
"7593","7593_C11_C. gallinarum_",1,0,1,0,0,1,0,1,"C. gallinarum"
"7594","7594_G6_C. gallinarum_",0,0,0,0,1,1,0,1,"C. gallinarum"
"7595","7595_C9_C. gallinarum_",1,1,1,1,0,0,1,1,"C. gallinarum"
"7596","7596_E4_C. gallinarum_",1,0,0,1,0,1,1,1,"C. gallinarum"
"7597","7597_F8_C. gallinarum_",1,1,1,1,1,0,0,1,"C. gallinarum"
"7598","7598_G10_C. gallinarum_",1,0,0,0,1,0,0,1,"C. gallinarum"
"7599","7599_E2_C. gallinarum_",0,1,1,0,1,1,1,1,"C. gallinarum"
"7600","7600_E5_C. gallinarum_",0,1,0,1,0,1,0,1,"C. gallinarum"
"7601","7601_G4_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7602","7602_D6_C. gallinarum_",0,1,1,0,0,1,1,1,"C. gallinarum"
"7603","7603_B10_C. gallinarum_",1,1,0,1,1,1,1,0,"C. gallinarum"
"7604","7604_C4_C. gallinarum_",1,0,0,0,0,0,1,0,"C. gallinarum"
"7605","7605_D2_C. gallinarum_",1,0,1,1,1,1,0,0,"C. gallinarum"
"7606","7606_G10_C. gallinarum_",1,1,0,1,1,0,1,0,"C. gallinarum"
"7607","7607_E6_C. gallinarum_",0,0,1,1,1,1,0,0,"C. gallinarum"
"7608","7608_B5_C. gallinarum_",0,1,1,1,1,0,1,0,"C. gallinarum"
"7609","7609_E2_C. gallinarum_",0,1,1,0,1,1,1,1,"C. gallinarum"
"7610","7610_F9_C. gallinarum_",0,0,0,0,0,0,0,0,"C. gallinarum"
"7611","7611_C4_C. gallinarum_",0,1,1,0,1,0,0,1,"C. gallinarum"
"7612","7612_G7_C. gallinarum_",0,0,0,0,0,0,1,1,"C. gallinarum"
"7613","7613_B5_C. gallinarum_",0,1,0,0,0,1,0,0,"C. gallinarum"
"7614","7614_F4_C. gallinarum_",1,0,0,0,1,1,1,1,"C. gallinarum"
"7615","7615_C6_C. gallinarum_",0,0,0,1,0,1,1,0,"C. gallinarum"
"7616","7616_C6_C. gallinarum_",0,1,0,0,1,0,1,1,"C. gallinarum"
"7617","7617_C5_C. gallinarum_",0,1,1,1,1,0,0,1,"C. gallinarum"
"7618","7618_C2_C. gallinarum_",1,1,0,0,0,1,1,1,"C. gallinarum"
"7619","7619_D4_C. gallinarum_",0,0,1,1,0,0,1,0,"C. gallinarum"
"7620","7620_B2_C. gallinarum_",1,1,0,0,1,0,1,1,"C. gallinarum"
"7621","7621_D8_C. gallinarum_",1,1,0,1,0,1,0,0,"C. gallinarum"
"7622","7622_E4_C. gallinarum_",1,0,0,1,0,1,1,1,"C. gallinarum"
