"","well","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","combined_data$Strain_nice"
"131","131_E7_P. baetica 1_",0,0,1,1,1,1,0,1,"P. baetica 1"
"132","132_D8_P. baetica 1_",0,0,0,0,0,0,0,0,"P. baetica 1"
"133","133_G3_P. baetica 1_",0,1,1,0,1,1,0,0,"P. baetica 1"
"134","134_E4_P. baetica 1_",1,0,0,1,0,1,1,1,"P. baetica 1"
"135","135_C2_P. baetica 1_",1,0,0,1,0,1,0,1,"P. baetica 1"
"136","136_G4_P. baetica 1_",0,1,0,0,1,0,0,0,"P. baetica 1"
"137","137_C9_P. baetica 1_",1,0,1,0,1,0,0,0,"P. baetica 1"
"138","138_B2_P. baetica 1_",1,0,0,1,0,1,1,0,"P. baetica 1"
"139","139_D10_P. baetica 1_",1,0,0,1,0,0,0,1,"P. baetica 1"
"140","140_D2_P. baetica 1_",0,1,0,1,1,0,0,0,"P. baetica 1"
"141","141_C3_P. baetica 1_",0,1,0,0,1,0,1,0,"P. baetica 1"
"142","142_E3_P. baetica 1_",1,0,1,0,0,0,0,0,"P. baetica 1"
"143","143_F8_P. baetica 1_",0,0,0,1,0,1,1,1,"P. baetica 1"
"144","144_F4_P. baetica 1_",0,0,1,0,1,1,0,0,"P. baetica 1"
"145","145_B9_P. baetica 1_",1,1,0,0,1,0,1,0,"P. baetica 1"
"146","146_D7_P. baetica 1_",0,0,1,1,1,1,1,0,"P. baetica 1"
"147","147_F7_P. baetica 1_",1,1,1,0,0,1,0,0,"P. baetica 1"
"148","148_E5_P. baetica 1_",0,1,1,1,0,1,0,1,"P. baetica 1"
"149","149_E6_P. baetica 1_",0,0,0,1,0,1,0,0,"P. baetica 1"
"150","150_C4_P. baetica 1_",0,1,1,0,1,0,0,1,"P. baetica 1"
"151","151_B7_P. baetica 1_",0,0,0,0,1,0,1,1,"P. baetica 1"
"152","152_G7_P. baetica 1_",0,0,0,0,0,0,1,1,"P. baetica 1"
"153","153_E9_P. baetica 1_",1,1,1,1,0,0,0,1,"P. baetica 1"
"154","154_B11_P. baetica 1_",1,0,1,1,1,1,0,1,"P. baetica 1"
"155","155_C6_P. baetica 1_",0,0,1,0,0,0,0,1,"P. baetica 1"
"156","156_B9_P. baetica 1_",1,0,1,1,0,0,0,0,"P. baetica 1"
"157","157_C11_P. baetica 1_",1,0,0,0,0,1,0,1,"P. baetica 1"
"158","158_F10_P. baetica 1_",1,1,0,0,1,1,1,1,"P. baetica 1"
